scenario,accuracy,f1_macro,f1_weighted,macro_recall
full,0.9905040636712006,0.8509412589858765,0.9906542951606975,0.8780451977355459
partial_numeric,0.9613424853665726,0.7057408871001274,0.9621780544037382,0.7210442523211081
no_numeric,0.5262980587021518,0.28937245991279065,0.5137546792827196,0.31686682869426186
transport_only,0.42007411462500527,0.11094331089647574,0.39693052911136256,0.15967598325807003
